no,code,name
1021,253450,스튜디오드래곤
1022,13810,스페코
1023,49830,승일
1024,20710,시공테크
1025,33170,시그네틱스
1026,260870,시그넷이브이
1027,48870,시너지이노베이션
1028,25320,시노펙스
1029,134790,시디즈
1030,269620,시스웍
1031,131090,시큐브
1032,232830,시큐센
1033,16590,신대양제지
1034,290520,신도기연
1035,29530,신도리코
1036,4970,신라교역
1037,1000,신라섬유
1038,25870,신라에스지
1039,215600,신라젠
1040,65350,신성델타테크
1041,11930,신성이엔지
1042,5390,신성통상
1043,4170,신세계
1044,35510,신세계I&C
1045,34300,신세계건설
1046,31430,신세계인터내셔날
1047,31440,신세계푸드
1048,6880,신송홀딩스
1049,2800,신신제약
1050,323280,신영스팩5호
1051,344050,신영스팩6호
1052,5800,신영와코루
1053,1720,신영증권
1054,9270,신원
1055,17000,신원종합개발
1056,2700,신일전자
1057,12790,신일제약
1058,138070,신진에스엠
1059,226330,신테카바이오
1060,19170,신풍제약
1061,2870,신풍제지
1062,293940,신한알파리츠
1063,277480,신한제4호스팩
1064,323230,신한제5호스팩
1065,333050,신한제6호스팩
1066,55550,신한지주
1067,1770,신화실업
1068,56700,신화인터텍
1069,187270,신화콘텍
1070,4080,신흥
1071,243840,신흥에스이씨
1072,108320,실리콘웍스
1073,222800,심텍
1074,36710,심텍홀딩스
1075,160980,싸이맥스
1076,217330,싸이토젠
1077,102280,쌍방울
1078,3410,쌍용양회공업
1079,3620,쌍용자동차
1080,10280,쌍용정보통신
1081,4770,써니전자
1082,217320,썬테크
1083,208640,썸에이지
1084,222420,쎄노텍
1085,37760,쎄니트
1086,136510,쎄미시스코
1087,99320,쎄트렉아이
1088,15540,쎌마테라퓨틱스
1089,49960,쎌바이오텍
1090,50890,쏠리드
1091,66790,씨씨에스
1092,222080,씨아이에스
1093,4920,씨아이테크
1094,236030,씨알푸드
1095,103660,씨앗
1096,245450,씨앤에스링크
1097,264660,씨앤지하이테크
1098,297090,씨에스베어링
